rank,name,career_war_eq,seasons,first_year,last_year,peak_bravs,peak5_bravs
1,Willie Mays,146.5,22,1951,1973,15.3,72.5
2,Barry Bonds,141.6,22,1986,2007,19.5,73.5
3,Babe Ruth,134.7,16,1920,1935,21.0,91.4
4,Ted Williams,132.7,18,1939,1960,16.9,81.2
5,Alex Rodriguez,128.7,22,1994,2016,15.8,76.8
6,Stan Musial,124.9,21,1942,1963,15.6,67.6
7,Greg Maddux,123.6,23,1986,2008,12.6,60.7
8,Hank Aaron,121.4,23,1954,1976,12.9,57.9
9,Roger Clemens,120.8,24,1984,2007,14.1,64.3
10,Mickey Mantle,119.7,18,1951,1968,17.6,76.8
11,Lou Gehrig,111.7,14,1925,1938,15.8,72.9
12,Joe Morgan,109.8,19,1965,1984,16.9,73.0
13,Rickey Henderson,107.0,25,1979,2003,14.5,57.0
14,Mike Schmidt,105.2,17,1973,1989,13.9,64.2
15,Mel Ott,104.1,21,1926,1946,12.0,55.1
16,Derek Jeter,101.3,20,1995,2014,13.7,60.2
17,Chipper Jones,101.0,18,1995,2012,13.3,58.7
18,Ken Griffey,100.6,22,1989,2010,13.5,65.2
19,Jimmie Foxx,99.0,17,1927,1945,14.8,66.4
20,Frank Robinson,97.5,21,1956,1976,13.4,56.6
21,Gaylord Perry,96.6,22,1962,1983,13.8,61.9
22,Carl Yastrzemski,95.3,23,1961,1983,16.4,61.5
23,Nolan Ryan,95.0,26,1968,1993,13.3,51.2
24,Manny Ramirez,92.7,18,1993,2010,12.1,52.4
25,Albert Pujols,92.6,22,2001,2022,14.5,63.1
26,Pete Rose,92.5,24,1963,1986,11.7,51.9
27,Craig Biggio,92.3,20,1988,2007,14.3,56.8
28,Tom Seaver,92.1,20,1967,1986,14.8,66.9
29,Wade Boggs,92.0,18,1982,1999,14.1,65.4
30,Steve Carlton,91.4,23,1965,1987,17.3,68.0
31,Mike Trout,90.9,15,2011,2025,16.5,74.5
32,Rogers Hornsby,90.8,15,1920,1937,17.8,78.2
33,Clayton Kershaw,90.6,18,2008,2025,15.3,68.4
34,Bert Blyleven,89.5,22,1970,1992,15.6,60.9
35,Randy Johnson,88.3,22,1988,2009,12.8,58.9
36,Eddie Mathews,88.2,17,1952,1968,12.9,58.5
37,Don Sutton,87.3,23,1966,1988,12.5,55.0
38,Cal Ripken,85.5,20,1982,2001,13.3,54.3
39,Al Kaline,85.2,21,1954,1974,11.4,50.6
40,Joe DiMaggio,84.9,13,1936,1951,14.4,61.3
41,Charlie Gehringer,84.9,17,1926,1942,12.5,55.8
42,Justin Verlander,84.7,18,2006,2025,11.2,53.4
43,Frank Thomas,84.6,19,1990,2008,11.8,56.2
44,Miguel Cabrera,84.5,21,2003,2023,14.8,60.6
45,Adrian Beltre,84.4,21,1998,2018,12.4,52.6
46,Todd Helton,83.7,17,1997,2013,14.9,67.0
47,Jim Thome,83.3,22,1991,2012,12.9,54.7
48,Zack Greinke,83.2,19,2004,2023,12.8,55.4
49,Gary Sheffield,82.6,22,1988,2009,12.6,54.6
50,Bob Gibson,82.1,17,1959,1975,20.3,75.5
51,John Smoltz,82.0,21,1988,2009,12.3,47.2
52,George Brett,81.9,20,1974,1993,13.4,54.9
53,Roberto Alomar,81.9,17,1988,2004,13.1,59.3
54,Jeff Bagwell,81.3,15,1991,2005,12.1,57.0
55,Rafael Palmeiro,80.9,20,1986,2005,10.8,48.4
56,Carlos Beltran,79.5,20,1998,2017,12.9,56.2
57,Robin Yount,78.6,20,1974,1993,14.3,55.0
58,Max Scherzer,78.4,18,2008,2025,12.0,54.5
59,Paul Molitor,77.6,20,1978,1998,9.6,45.8
60,Freddie Freeman,77.0,15,2011,2025,11.9,50.4
61,Jim Edmonds,76.1,17,1993,2010,13.5,58.1
62,Curt Schilling,75.9,18,1990,2007,12.7,53.6
63,Larry Walker,75.7,17,1989,2005,16.4,62.4
64,Mike Piazza,75.1,16,1992,2007,14.7,57.9
65,Bobby Abreu,74.8,17,1997,2014,12.5,51.8
66,Pedro Martinez,74.5,17,1993,2009,14.0,57.0
67,Johnny Bench,74.2,17,1967,1983,12.5,55.1
68,Ron Santo,73.9,15,1960,1974,14.2,62.4
69,Fergie Jenkins,73.8,18,1966,1983,15.3,65.5
70,Joey Votto,73.7,17,2007,2023,12.8,59.0
71,Ivan Rodriguez,73.4,21,1991,2011,9.5,45.7
72,Jim Kaat,72.7,24,1960,1983,13.1,52.1
73,Bernie Williams,72.1,16,1991,2006,12.1,52.7
74,Paul Waner,72.1,19,1926,1944,10.5,48.4
75,Ryne Sandberg,71.4,15,1982,1997,12.5,56.2
76,Tommy John,71.2,26,1963,1989,9.6,39.6
77,Al Simmons,71.0,18,1924,1943,11.7,50.4
78,Mike Mussina,70.8,18,1991,2008,9.5,39.9
79,Carlton Fisk,70.6,22,1972,1993,12.5,48.6
80,Andrew McCutchen,70.6,17,2009,2025,13.3,58.6
81,Robinson Cano,70.4,17,2005,2022,12.3,53.1
82,Jeff Kent,70.4,17,1992,2008,12.3,47.7
83,Paul Goldschmidt,70.3,15,2011,2025,12.3,54.9
84,Edgar Martinez,70.2,16,1989,2004,11.8,51.8
85,Dwight Evans,70.1,20,1972,1991,12.1,51.9
86,Scott Rolen,69.8,17,1996,2012,12.2,52.7
87,Johnny Damon,69.6,18,1995,2012,10.4,45.8
88,Reggie Jackson,69.6,21,1967,1987,12.2,46.9
89,Barry Larkin,69.5,19,1986,2004,12.5,48.9
90,Kenny Lofton,69.4,17,1991,2007,10.9,46.1
91,Richie Ashburn,69.3,15,1948,1962,11.3,46.7
92,Harmon Killebrew,69.2,19,1955,1975,14.1,56.9
93,Luke Appling,69.0,19,1931,1950,11.0,44.9
94,David Ortiz,67.8,19,1997,2016,12.0,51.3
95,Kevin Brown,67.8,18,1988,2005,14.0,51.1
96,Mookie Betts,67.7,12,2014,2025,14.8,58.8
97,Lou Whitaker,67.6,18,1978,1995,9.5,40.2
98,Billy Williams,67.4,17,1960,1976,11.6,49.0
99,Dave Winfield,67.1,22,1973,1995,10.5,41.0
100,Harry Heilmann,67.0,11,1920,1930,12.8,56.8
