team,playoff_pct,div_pct,ws_pct,league
SEA,98.36,85.82,23.49,AL
PHI,98.22999999999999,69.89,22.35,NL
NYA,96.63000000000001,73.85000000000001,16.08,AL
LAN,95.33,81.69999999999999,12.030000000000001,NL
CHN,91.97999999999999,75.84,8.469999999999999,NL
NYN,87.72999999999999,21.959999999999997,5.84,NL
ATL,69.16,8.15,1.7399999999999998,NL
BOS,70.23,13.309999999999999,1.71,AL
TOR,70.09,12.590000000000002,1.5,AL
SDN,62.949999999999996,16.82,1.34,NL
TEX,62.06,8.7,1.23,AL
KCA,67.7,50.160000000000004,1.22,AL
MIL,61.14000000000001,21.22,1.21,NL
DET,61.99,42.94,0.9299999999999999,AL
HOU,50.660000000000004,5.46,0.69,AL
CLE,14.34,6.419999999999999,0.08,AL
CIN,11.59,1.92,0.06999999999999999,NL
SFN,9.629999999999999,0.98,0.02,NL
ATH,1.06,0.02,0.0,AL
ARI,4.73,0.5,0.0,NL
BAL,0.3,0.01,0.0,AL
CHA,0.02,0.01,0.0,AL
LAA,0.29,0.0,0.0,AL
COL,0.0,0.0,0.0,NL
MIA,0.54,0.0,0.0,NL
MIN,1.09,0.47000000000000003,0.0,AL
PIT,0.63,0.06999999999999999,0.0,NL
SLN,6.35,0.95,0.0,NL
TBA,5.18,0.24,0.0,AL
WAS,0.01,0.0,0.0,NL
